"","POR_13","POR_34","POR_61"
"Porites_compressa_HIv1___RNAseq.g11033.t1",0,145,5
"Porites_compressa_HIv1___TS.g5672.t1",0,94,0
"Porites_compressa_HIv1___TS.g5673.t1",0,77,0
"Porites_compressa_HIv1___TS.g5674.t1",0,51,0
"Porites_compressa_HIv1___RNAseq.g11037.t1",0,118,7
"Porites_compressa_HIv1___TS.g5676.t1",0,88,16
"Porites_compressa_HIv1___RNAseq.g9668.t2",6515,12068,14141
"Porites_compressa_HIv1___RNAseq.g9669.t1",443,158,1215
"Porites_compressa_HIv1___TS.g4315.t2",14,215,143
"Porites_compressa_HIv1___RNAseq.g9672.t1",600,563,220
"Porites_compressa_HIv1___RNAseq.g9673.t1",123,48,413
"Porites_compressa_HIv1___TS.g4318.t1a",73,13,220
"Porites_compressa_HIv1___RNAseq.g9676.t1",3059,3509,2184
"Porites_compressa_HIv1___RNAseq.g9677.t1",332,1008,1070
"Porites_compressa_HIv1___RNAseq.17_t",12,21,0
"Porites_compressa_HIv1___RNAseq.g9681.t1",24,0,235
"Porites_compressa_HIv1___RNAseq.g9686.t1",20082,23493,23238
"Porites_compressa_HIv1___RNAseq.g9687.t1",183,1172,224
"Porites_compressa_HIv1___TS.g4332.t1",659,550,0
"Porites_compressa_HIv1___RNAseq.g9689.t1",166,193,351
"Porites_compressa_HIv1___RNAseq.g9690.t1",609,316,0
"Porites_compressa_HIv1___RNAseq.g9691.t1",5439,0,0
"Porites_compressa_HIv1___RNAseq.g9692.t1",1032,96,0
"Porites_compressa_HIv1___RNAseq.g9693.t1",1071,0,0
"Porites_compressa_HIv1___TS.g4339.t2",430,144,3
"Porites_compressa_HIv1___RNAseq.g9696.t1",457,1316,747
"Porites_compressa_HIv1___RNAseq.g9697.t1",39,0,9
"Porites_compressa_HIv1___TS.g4342.t1",13,414,0
"Porites_compressa_HIv1___TS.g4343.t2",687,1544,273
"Porites_compressa_HIv1___RNAseq.g9700.t1",2777,2460,2252
"Porites_compressa_HIv1___RNAseq.g9704.t1",1749,3334,3476
"Porites_compressa_HIv1___RNAseq.g9705.t1",206,287,404
"Porites_compressa_HIv1___RNAseq.g9706.t1",242,209,0
"Porites_compressa_HIv1___RNAseq.g9708.t1",494,72,713
"Porites_compressa_HIv1___RNAseq.47_t",1580,2944,3250
"Porites_compressa_HIv1___RNAseq.g9715.t1",268,200,184
"Porites_compressa_HIv1___RNAseq.g9719.t1",30,174,79
"Porites_compressa_HIv1___TS.g4366.t1",1335,2708,1467
"Porites_compressa_HIv1___RNAseq.g9723.t1",378,573,272
"Porites_compressa_HIv1___RNAseq.g9724.t1",140,117,410
"Porites_compressa_HIv1___RNAseq.g9730.t1",439,1004,88
"Porites_compressa_HIv1___RNAseq.g9731.t1",46,0,0
"Porites_compressa_HIv1___RNAseq.g9745.t1",174,0,403
"Porites_compressa_HIv1___RNAseq.g9746.t2",41,77,118
"Porites_compressa_HIv1___RNAseq.g9747.t2",258,131,303
"Porites_compressa_HIv1___RNAseq.g9748.t1",323,1636,285
"Porites_compressa_HIv1___TS.g4396.t1",438,382,1
